Code;Name;Role;OVA;POT;Championship;Country;Team;ID;Height;Weight;Foot;Role2;Role3;LChampionship;LC'ship Code;LTeam
ESP;Soldado;ATT;76;76;Spain Primera Division;Spain;Granada CF;146758;180;74;Right;;;;;
ESP;Iván Cuéllar;POR;77;77;Spain Primera Division;Spain;CD Leganés;146952;187;76;Left;;;;;
ARG;Pinola J.;DC;78;78;Argentina Primera Division;Argentina;River Plate;146963;180;79;Left;;;;;
ESP;Diego Castro;COC;76;76;Australian Hyundai A-League;Australia;Perth Glory;147006;174;71;Right;AS;;;;
RUS;Akinfeev I.;POR;80;80;Russian Premier League;Russia;PFC CSKA Moscow;148119;186;78;Right;;;;;
NED;Huntelaar K.;ATT;77;77;Holland Eredivisie;Netherlands;Ajax;148803;186;83;Right;;;;;
GER;Gómez M.;ATT;76;76;German 2. Bundesliga;Germany_2;VfB Stuttgart;150418;189;89;Right;;;;;
GER;Podolski L.;COC;75;75;Japanese J. League Division 1;Japan;Vissel Kobe;150516;182;83;Left;ATT;AD;;;
ENG;Hart J.;POR;77;77;English Premier League;England;Burnley;150724;196;91;Right;;;;;
AUT;Özcan R.;POR;75;75;German 1. Bundesliga;Germany;Bayer 04 Leverkusen;152211;184;78;Left;;;;;
FRA;Clichy G.;TS;77;77;Turkish Super Lig;Turkey;Medipol Basaksehir FK;152554;176;65;Left;;;;;
ESP;Piqué;DC;88;88;Spain Primera Division;Spain;FC Barcelona;152729;194;85;Right;;;;;
ENG;Noble M.;CC;76;76;English Premier League;England;West Ham United;152879;177;76;Right;CDC;;;;
ENG;Young A.;TD;77;77;English Premier League;England;Manchester United;152908;175;65;Right;TS;;;;
ARG;Sand J.;ATT;76;76;Argentina Primera Division;Argentina;Club Atlético Lanús;152912;185;82;Right;;;;;
ARG;Sambueza R.;ED;75;75;Mexican Liga MX;Mexico;Pachuca;152916;174;72;Left;ES;;Mexican Liga MX;Mexico;Club León
ARG;Civelli R.;DC;77;77;Argentina Primera Division;Argentina;Club Atlético Banfield;152993;195;89;Right;;;;;
NOR;Skjelbred P.;CDC;76;76;German 1. Bundesliga;Germany;Hertha BSC;152996;178;73;Right;CC;;;;
ARG;Cvitanich D.;ATT;77;77;Argentina Primera Division;Argentina;Racing Club;152997;174;72;Right;;;;;
ARG;Palacio R.;ATT;76;76;Italian Serie A;Italy;Bologna;152999;176;70;Right;COC;;;;
NOR;Wolff Eikrem M.;COC;75;75;Norwegian Eliteserien;Norway;Molde FK;153048;184;69;Right;CC;;;;
ARG;Agüero S.;ATT;89;89;English Premier League;England;Manchester City;153079;173;70;Right;;;;;
ARG;Zárate M.;ATT;78;78;Argentina Primera Division;Argentina;Boca Juniors;153177;175;77;Right;AT;COC;;;
FRA;Gignac A.;ATT;80;80;Mexican Liga MX;Mexico;Tigres U.A.N.L.;153244;187;91;Right;;;;;
BRA;Hilton;DC;78;78;French Ligue 1;France;Montpellier HSC;153260;180;78;Right;;;;;
ESP;Jorge Molina;ATT;80;80;Spain Primera Division;Spain;Getafe CF;154472;188;72;Right;;;;;
RUS;Zhirkov Y.;TS;76;76;;;;154950;180;75;Left;ES;;;;
ESP;Sergio Ramos;DC;89;89;Spain Primera Division;Spain;Real Madrid;155862;184;82;Right;;;;;
USA;Bradley M.;CDC;76;76;USA Major League Soccer;Usa;Toronto FC;155887;188;79;Right;CC;;;;
SCO;Snodgrass R.;ED;76;76;English Premier League;England;West Ham United;155946;182;82;Left;CC;;;;
ESP;Markel Bergara;CDC;76;76;Spain Primera Division;Spain;Getafe CF;155984;181;78;Right;CC;;;;
MEX;Corona J.;POR;75;75;Mexican Liga MX;Mexico;Cruz Azul;156412;184;84;Right;;;;;
FRA;Hoarau G.;ATT;78;78;Swiss Super League;Switzerland;BSC Young Boys;156432;192;85;Right;;;;;
MEX;Herrera H.;CC;82;82;Spain Primera Division;Spain;Atlético Madrid;156519;185;80;Right;;;;;
SWE;Granqvist A.;DC;78;78;Swedish Allsvenskan;Sweden;Helsingborgs IF;156713;192;84;Right;;;;;
NED;Babel R.;ES;78;78;Turkish Super Lig;Turkey;Galatasaray SK;157301;185;85;Right;AS;;;;
BEL;Vermaelen T.;DC;78;78;Japanese J. League Division 1;Japan;Vissel Kobe;157304;183;80;Left;TS;;;;
ESP;Raúl Albiol;DC;83;83;Spain Primera Division;Spain;Villarreal CF;157481;190;82;Right;;;;;
CHI;Valdivia J.;COC;75;75;Chilian Campeonato Nacional;Chile;Colo-Colo;157492;173;71;Right;;;;;
ENG;Dann S.;DC;75;75;English Premier League;England;Crystal Palace;157665;188;78;Right;;;;;
ARG;Messi L.;AD;94;94;Spain Primera Division;Spain;FC Barcelona;158023;170;72;Left;AT;ATT;;;
FRA;Costil B.;POR;80;80;French Ligue 1;France;FC Girondins de Bordeaux;158121;187;88;Right;;;;;
PER;Farfán J.;ED;77;77;Russian Premier League;Russia;Lokomotiv Moscow;158133;178;84;Right;ATT;;;;
GER;Hunt A.;COC;76;76;German 2. Bundesliga;Germany_2;Hamburger SV;158138;183;73;Left;CC;ED;;;
ESP;Salva Sevilla;CC;75;75;Spain Primera Division;Spain;RCD Mallorca;158144;178;71;Right;;;;;
CIV;Kalou S.;ES;79;79;German 1. Bundesliga;Germany;Hertha BSC;158232;185;79;Right;ATT;ED;;;
SUI;Gelson Fernandes;CDC;77;77;German 1. Bundesliga;Germany;Eintracht Frankfurt;158438;179;70;Right;CC;;;;
BRA;Dante;DC;79;79;French Ligue 1;France;OGC Nice;158625;188;85;Left;;;;;
FRA;Debuchy M.;TD;79;79;French Ligue 1;France;AS Saint-Étienne;158626;176;76;Right;;;;;
BRA;Léo Matos;TD;76;76;Super League Greece;Greece;PAOK;158942;184;81;Right;TS;ED;;;
ARG;Biglia L.;CDC;82;82;Italian Serie A;Italy;Milan;158963;178;63;Right;CC;;;;
ARG;Lavezzi E.;ATT;79;79;Chinese Super League;China;Hebei China Fortune FC;159065;173;75;Right;COC;;;;
FRA;Gomis B.;ATT;81;81;Saudi Abdul L. Jameel League;Arabia;Al Hilal;159145;184;77;Right;;;;;
FRA;Perrin L.;DC;80;80;French Ligue 1;France;AS Saint-Étienne;159147;181;80;Right;;;;;
TOG;Romao A.;CDC;75;75;French Ligue 1;France;Stade de Reims;159175;180;74;Right;;;;;
ITA;Quagliarella F.;ATT;83;83;Italian Serie A;Italy;Sampdoria;159261;180;79;Right;;;;;
ARG;Abraham D.;DC;78;78;German 1. Bundesliga;Germany;Eintracht Frankfurt;160741;188;83;Right;;;;;
ESP;Javi García;CDC;77;77;Spain Primera Division;Spain;Real Betis;161754;186;82;Right;CC;DC;;;
SUI;Behrami V.;CDC;75;75;Swiss Super League;Switzerland;FC Sion;161805;185;82;Right;;;;;
ESP;Borja Valero;COC;79;79;Italian Serie A;Italy;Inter;161956;175;73;Right;CDC;;;;
TUR;Bolat S.;POR;76;76;Belgian Jupiler Pro League;Belgium;Royal Antwerp FC;162220;186;83;Right;;;;;
BEL;Haroun F.;CDC;75;75;Belgian Jupiler Pro League;Belgium;Royal Antwerp FC;162221;188;75;Right;CC;;;;
BEL;Dembélé M.;CC;81;81;Chinese Super League;China;Guangzhou R&F FC;162240;185;85;Left;COC;CDC;;;
POL;Mierzejewski A.;COC;76;76;Chinese Super League;China;Chongqing Dangdai Lifan FC SWM Team;162280;176;73;Left;AT;;;;
MAR;El Ahmadi K.;CDC;76;76;Saudi Abdul L. Jameel League;Arabia;Al Ittihad;162329;181;71;Right;CC;;;;
POR;João Moutinho;CC;84;84;English Premier League;England;Wolverhampton Wanderers;162347;170;61;Right;;;;;
BIH;Ibišević V.;ATT;77;77;German 1. Bundesliga;Germany;Hertha BSC;162369;188;83;Right;;;;;
SVN;Handanovič S.;POR;88;88;Italian Serie A;Italy;Inter;162835;193;92;Right;;;;;
ESP;Cesc Fàbregas;CC;81;81;French Ligue 1;France;AS Monaco;162895;179;77;Right;CDC;;;;
ENG;Foster B.;POR;80;80;English Premier League;England;Watford;163155;193;90;Left;;;;;
ENG;Heaton T.;POR;80;80;English Premier League;England;Aston Villa;163264;187;92;Right;;;;;
MEX;Orozco J.;POR;76;76;Mexican Liga MX;Mexico;Santos Laguna;163301;184;81;Right;;;;;
ITA;Consigli A.;POR;81;81;Italian Serie A;Italy;Sassuolo;163489;189;82;Right;;;;;
DEN;Schmeichel K.;POR;83;83;English Premier League;England;Leicester City;163587;189;89;Right;;;;;
ENG;Baines L.;TS;75;75;English Premier League;England;Everton;163631;170;70;Left;;;;;
FRA;Congré D.;DC;75;75;French Ligue 1;France;Montpellier HSC;163665;185;80;Right;;;;;
BEN;Sessègnon S.;COC;76;76;Turkish Super Lig;Turkey;Gençlerbirliği SK;163699;172;72;Right;;;;;
FRA;Mandanda S.;POR;80;80;French Ligue 1;France;Olympique de Marseille;163705;185;80;Right;;;;;
ESP;Sergio;POR;75;75;Spain Primera Division;Spain;RC Celta;163806;180;75;Right;;;;;
ITA;Diamanti A.;COC;76;76;Australian Hyundai A-League;Australia;Western United FC;163925;180;75;Left;AT;;;;
BRA;Charles;ATT;80;80;Spain Primera Division;Spain;SD Eibar;164029;179;76;Right;;;;;
BRA;Thiago Silva;DC;87;87;French Ligue 1;France;Paris Saint-Germain;164240;183;82;Right;;;;;
ITA;Pellè G.;ATT;77;77;Chinese Super League;China;Shandong Luneng TaiShan FC;164376;193;101;Right;;;;;
ENG;Wright-Phillips B.;ATT;77;77;USA Major League Soccer;Usa;New York Red Bulls;164464;173;75;Right;;;;;
ENG;Cahill G.;DC;77;77;English Premier League;England;Crystal Palace;164468;193;88;Right;;;;;
POL;Fabiański L.;POR;82;82;English Premier League;England;West Ham United;164835;190;83;Right;;;;;
ENG;Walcott T.;ED;77;77;English Premier League;England;Everton;164859;176;68;Right;;;;;
ISR;Refaelov L.;COC;75;75;Belgian Jupiler Pro League;Belgium;Royal Antwerp FC;164878;175;68;Right;CC;ED;;;
POL;Błaszczykowski J.;ED;75;75;Polish T-Mobile Ekstraklasa;Poland;Wisla Kraków;164994;175;67;Right;TD;;;;
ROU;Radu S.;DC;80;80;Italian Serie A;Italy;Lazio;165109;183;79;Left;;;;;
FRA;Benzema K.;AT;87;87;Spain Primera Division;Spain;Real Madrid;165153;185;81;Right;ATT;;;;
FRA;Koscielny L.;DC;81;81;French Ligue 1;France;FC Girondins de Bordeaux;165229;186;75;Right;;;;;
FRA;Nasri S.;COC;79;79;Belgian Jupiler Pro League;Belgium;RSC Anderlecht;165239;175;75;Right;ES;CC;;;
RSA;Khune I.;POR;78;78;South Africa Premier League;SouthAfrica;Kaizer Chiefs;165247;181;81;Right;;;;;
ARG;Cabral G.;DC;75;75;Mexican Liga MX;Mexico;Pachuca;165536;184;76;Right;;;;;
BRA;Cássio;POR;75;75;Saudi Abdul L. Jameel League;Arabia;Al Taawoun;165769;185;83;Right;;;;;
BRA;Danilo;DC;77;77;Italian Serie A;Italy;Bologna;166072;185;76;Right;;;;;
SVK;Škrtel M.;DC;79;79;Italian Serie A;Italy;Atalanta;166706;191;81;Right;;;;;
COL;Falcao;ATT;83;83;French Ligue 1;France;AS Monaco;167397;177;72;Right;;;;;
GER;Castro G.;CC;75;75;German 2. Bundesliga;Germany_2;VfB Stuttgart;167431;172;72;Right;CDC;;;;
GER;Neuer M.;POR;88;88;German 1. Bundesliga;Germany;FC Bayern München;167495;193;92;Right;;;;;
SRB;Basta D.;TD;76;76;Italian Serie A;Italy;Lazio;167514;183;72;Right;ED;;;;
FRA;Ruffier S.;POR;84;84;French Ligue 1;France;AS Saint-Étienne;167628;188;93;Right;;;;;
ARG;Higuaín G.;ATT;85;85;Italian Serie A;Italy;Juventus;167664;186;89;Right;;;;;
ARG;Domingo N.;CDC;75;75;Argentina Primera Division;Argentina;Independiente;167665;174;70;Right;CC;DC;;;
ARG;Higuaín F.;COC;76;76;USA Major League Soccer;Usa;Columbus Crew SC;167669;173;75;Right;;;;;
FRA;Lloris H.;POR;88;88;English Premier League;England;Tottenham Hotspur;167948;188;82;Left;;;;;
BRA;Marcelo Grohe;POR;76;76;Saudi Abdul L. Jameel League;Arabia;Al Ittihad;167959;188;81;Right;;;;;
ITA;Bocchetti S.;DC;76;76;Italian Serie A;Italy;Hellas Verona;168326;186;86;Left;;;;;
ITA;Viviano E.;POR;82;82;Portuguese Liga ZON SAGRES;Portugal;Sporting CP;168354;195;90;Left;;;;;
ITA;Sirigu S.;POR;84;84;Italian Serie A;Italy;Torino;168435;192;80;Right;;;;;
BRA;Jardel;DC;81;81;Portuguese Liga ZON SAGRES;Portugal;SL Benfica;168530;192;86;Right;;;;;
ESP;David Silva;COC;88;88;English Premier League;England;Manchester City;168542;173;67;Left;CC;;;;
COL;Rodallega H.;ATT;75;75;Turkish Super Lig;Turkey;Denizlispor;168565;181;72;Right;;;;;
BRA;Miranda;DC;83;83;Chinese Super League;China;Jiangsu Suning FC;168609;186;78;Right;;;;;
GRE;Zeca;CC;75;75;Danish Superliga;Denmark;FC København;168621;182;67;Right;;;;;
CRO;Rakitić I.;CC;86;86;Spain Primera Division;Spain;FC Barcelona;168651;184;78;Right;CDC;;;;
ITA;Masiello A.;DC;78;78;Italian Serie A;Italy;Atalanta;169115;184;82;Right;;;;;
NED;Vermeer K.;POR;76;76;Holland Eredivisie;Netherlands;Feyenoord;169181;181;78;Right;;;;;
BRA;Renato Augusto;CC;81;81;Chinese Super League;China;Beijing Sinobo Guoan FC;169195;186;86;Right;COC;CDC;;;
MEX;Vela C.;AD;83;83;USA Major League Soccer;Usa;Los Angeles FC;169416;177;77;Left;AS;COC;;;
ESP;Barragán;TD;75;75;Spain Primera Division;Spain;Real Betis;169426;183;76;Right;ED;;;;
NIR;Evans J.;DC;79;79;English Premier League;England;Leicester City;169588;188;77;Right;;;;;
ENG;Rose D.;TS;80;80;English Premier League;England;Tottenham Hotspur;169595;174;76;Left;ASA;;;;
IRL;Randolph D.;POR;75;75;English League Championship;England_2;Middlesbrough;169697;188;78;Right;;;;;
ENG;Bertrand R.;TS;78;78;English Premier League;England;Southampton;169705;179;80;Left;ASA;;;;
ENG;Cork J.;CC;76;76;English Premier League;England;Burnley;169706;184;75;Right;;;;;
ENG;Rodriguez J.;ATT;76;76;English Premier League;England;Burnley;169792;185;84;Right;AS;;;;
WAL;Hennessey W.;POR;75;75;English Premier League;England;Crystal Palace;170084;198;90;Right;;;;;
ITA;De Silvestri L.;ED;75;75;Italian Serie A;Italy;Torino;170320;186;84;Right;TD;;;;
ARG;Lamela E.;ED;80;80;English Premier League;England;Tottenham Hotspur;170368;184;80;Left;ES;COC;;;
MEX;dos Santos G.;COC;76;76;Mexican Liga MX;Mexico;Club América;170369;175;71;Left;ATT;;;;
MEX;dos Santos J.;CC;78;78;USA Major League Soccer;Usa;LA Galaxy;170370;172;73;Right;;;;;
ARG;Garay E.;DC;83;83;Spain Primera Division;Spain;Valencia CF;170481;189;90;Right;;;;;
ARG;Buonanotte D.;COC;75;75;Chilian Campeonato Nacional;Chile;Universidad Católica;170719;161;57;Left;;;;;
CIV;Gervinho;AS;78;78;Italian Serie A;Italy;Parma;170733;179;65;Right;AD;;;;
TUR;Şahin N.;CDC;78;78;German 1. Bundesliga;Germany;SV Werder Bremen;170797;180;73;Left;CC;;;;
BEL;Defour S.;CC;78;78;English Premier League;England;Burnley;170815;175;72;Right;;;;;
FRA;Matuidi B.;CDC;85;85;Italian Serie A;Italy;Juventus;170890;180;75;Left;CC;;;;
ESP;Mario Suárez;CC;75;75;Spanish Segunda Division;Spain_2;Rayo Vallecano;171018;188;80;Right;CDC;DC;;;
ESP;Raúl García;COC;80;80;Spain Primera Division;Spain;Athletic Club de Bilbao;171579;184;83;Right;;;;;
POR;José Fonte;DC;81;81;French Ligue 1;France;LOSC Lille;171791;187;81;Right;;;;;
ARG;Scocco I.;ATT;77;77;Argentina Primera Division;Argentina;River Plate;171828;177;73;Right;;;;;
TUR;Erkin C.;TS;75;75;Turkish Super Lig;Turkey;Besiktas JK;171875;181;72;Left;ES;;;;
SVK;Hamšík M.;CC;84;84;Chinese Super League;China;Dalian YiFang FC;171877;183;73;Right;;;;;
MEX;Ayala H.;DC;75;75;Mexican Liga MX;Mexico;Tigres U.A.N.L.;171896;183;81;Right;;;;;
MEX;Guardado A.;CC;81;81;Spain Primera Division;Spain;Real Betis;171897;169;67;Left;CDC;ES;;;
BRA;Naldo;DC;80;80;French Ligue 1;France;AS Monaco;171919;198;91;Right;;;;;
SCO;McArthur J.;CC;76;76;English Premier League;England;Crystal Palace;171972;178;66;Right;ED;;;;
ARG;Maidana J.;DC;76;76;Mexican Liga MX;Mexico;Deportivo Toluca;172018;185;80;Right;;;;;
NED;Elia E.;ES;77;77;Turkish Super Lig;Turkey;Medipol Basaksehir FK;172049;176;77;Right;AS;;;;
ARG;Fritzler M.;CDC;75;75;Argentina Primera Division;Argentina;Club Atlético Colón;172113;179;73;Right;CC;;;;
ARG;Valeri D.;COC;79;79;USA Major League Soccer;Usa;Portland Timbers;172114;178;75;Right;ATT;;;;
DEN;Schøne L.;CC;77;77;Italian Serie A;Italy;Genoa;172143;177;78;Right;CDC;;;;
BEL;Mirallas K.;ES;78;78;English Premier League;England;Everton;172175;182;72;Right;AS;ATT;;;
ESP;Manu García;CC;78;78;Spain Primera Division;Spain;Deportivo Alavés;172287;182;74;Left;CDC;;;;
FRA;Zurutuza D.;CC;76;76;Spain Primera Division;Spain;Real Sociedad;172290;186;79;Right;CDC;;;;
ESP;Coke;TD;78;78;Spain Primera Division;Spain;Levante UD;172316;177;74;Right;ED;;;;
CIV;Bamba S.;DC;76;76;English League Championship;England_2;Cardiff City;172425;190;86;Right;;;;;
DEN;Wass D.;CC;80;80;Spain Primera Division;Spain;Valencia CF;172522;181;74;Right;TD;ED;;;
DEN;Lössl J.;POR;75;76;English Premier League;England;Everton;172553;195;88;Right;;;;;
BIH;Begović A.;POR;75;75;English Premier League;England;Bournemouth;172723;199;83;Right;;;;;
ENG;Surman A.;CC;75;75;English Premier League;England;Bournemouth;172768;178;73;Left;;;;;
FIN;Moisander N.;DC;79;79;German 1. Bundesliga;Germany;SV Werder Bremen;172862;183;76;Left;;;;;
BEL;Vertonghen J.;DC;87;87;English Premier League;England;Tottenham Hotspur;172871;189;86;Left;;;;;
GRE;Sokratis;DC;84;84;English Premier League;England;Arsenal;172879;186;85;Right;;;;;
ENG;Murray G.;ATT;77;77;English Premier League;England;Brighton & Hove Albion;172937;183;80;Right;;;;;
JAM;Mariappa A.;DC;75;75;English Premier League;England;Watford;172953;180;79;Right;;;;;
NGA;Moses V.;ED;78;78;Turkish Super Lig;Turkey;Fenerbahçe SK;172962;177;77;Right;ADA;;English Premier League;England;Chelsea
ITA;Criscito D.;TS;79;79;Italian Serie A;Italy;Genoa;173208;183;75;Left;DC;;;;
ITA;Candreva A.;ED;79;79;Italian Serie A;Italy;Inter;173221;180;70;Right;;;;;
ARG;Ansaldi C.;ES;78;78;Italian Serie A;Italy;Torino;173306;181;76;Left;TS;;;;
ARG;Romero S.;POR;80;80;English Premier League;England;Manchester United;173373;192;86;Right;;;;;
BEL;Mignolet S.;POR;78;78;Belgian Jupiler Pro League;Belgium;Club Brugge KV;173426;193;87;Right;;;;;
MEX;Moreno H.;DC;78;78;;;;173432;183;80;Left;;;;;
AUT;Junuzović Z.;CC;77;77;Austrian Football Bundesliga;Austria;FC Red Bull Salzburg;173474;172;72;Right;COC;ES;;;
ESP;Marcano;DC;79;79;Portuguese Liga ZON SAGRES;Portugal;FC Porto;173521;189;77;Left;;;;;
ENG;Tomkins J.;DC;78;78;English Premier League;England;Crystal Palace;173546;192;74;Right;;;;;
